class_weight,precision,recall,f1-score,false_positive_rate
1,0.9766233766233766,0.6123778501628665,0.7527527527527528,0.00011346015657498487
2,0.9696969696969697,0.7296416938110749,0.8327137546468402,0.0001764935768944209
3,0.9619238476953907,0.7817589576547231,0.862533692722372,0.00023952699721396797
4,0.9452830188679245,0.8159609120521173,0.8758741258741258,0.00036559383785284005
5,0.9238938053097345,0.8501628664495114,0.8854961832061069,0.000542087414747261
6,0.9005059021922428,0.8697068403908795,0.8848384424192212,0.0007437943597695673
7,0.8690095846645367,0.8859934853420195,0.8774193548387097,0.0010337480932390841
8,0.8390977443609022,0.9087947882736156,0.872556684910086,0.0013489151948362643
9,0.8156748911465893,0.9153094462540716,0.8626247122026094,0.0016010488761141195
10,0.8086592178770949,0.9429967426710097,0.8706766917293233,0.0017271157167529916
11,0.7897574123989218,0.9543973941368078,0.8643067846607669,0.0019666427139669596
12,0.759493670886076,0.9771986970684039,0.8547008547008547,0.0023952699721392356
13,0.7171597633136094,0.9869706840390879,0.8307059629883482,0.00301299749126982
14,0.6740823136818688,0.9869706840390879,0.8010575016523463,0.003693758430719951
15,0.6341719077568134,0.9853420195439739,0.7716836734693877,0.004399732738297857
16,0.5982230997038499,0.9869706840390879,0.7449293177627535,0.005130920414003537
17,0.5738636363636364,0.9869706840390879,0.725748502994012,0.005673007828750798
18,0.5434977578475336,0.9869706840390879,0.7009832272990167,0.006416802188520365
19,0.5283347863993025,0.9869706840390879,0.6882453151618398,0.006820216078564867
20,0.507537688442211,0.9869706840390879,0.6703539823008849,0.007412730229567677
21,0.4950980392156863,0.9869706840390879,0.6594124047878128,0.007790930751484404
22,0.4790513833992095,0.9869706840390879,0.6450239489089942,0.008307804798104002
23,0.47233047544816836,0.9869706840390879,0.6389035318924617,0.008534725111253971
24,0.46189024390243905,0.9869706840390879,0.6292834890965732,0.008900318949106811
24,0.46189024390243905,0.9869706840390879,0.6292834890965732,0.008900318949106811
25,0.45598194130925507,0.9869706840390879,0.6237776634071024,0.009114632578193005
26,0.45122859270290394,0.9869706840390879,0.6193152784874808,0.009291126155087426
27,0.44789356984478934,0.9869706840390879,0.6161667513980681,0.009417192995726298
28,0.4452608376193975,0.9869706840390879,0.6136708860759493,0.009518046468237507
29,0.44233576642335765,0.9869706840390879,0.6108870967741935,0.009631506624812491
30,0.4400871459694989,0.9869706840390879,0.6087393269713711,0.009719753413259702
31,0.4391304347826087,0.9869706840390879,0.6078234704112337,0.009757573465451364
32,0.43817787418655096,0.9869706840390879,0.6069103655483225,0.009795393517643025
33,0.4375451263537906,0.9869706840390879,0.6063031515757878,0.0098206068857708
34,0.43628509719222464,0.9869706840390879,0.6050923614578133,0.009871033622026348
35,0.43503230437903806,0.9869706840390879,0.6038863976083707,0.009921460358282008
36,0.4334763948497854,0.9869706840390879,0.6023856858846919,0.009984493778601444
37,0.4322396576319544,0.9869706840390879,0.6011904761904762,0.010034920514856993
38,0.4303977272727273,0.9869706840390879,0.599406528189911,0.010110560619240316
39,0.4297872340425532,0.9869706840390879,0.5988142292490118,0.01013577398736809
40,0.4279661016949153,0.9869706840390879,0.5970443349753695,0.010211414091751414
41,0.42646023926812104,0.9869706840390879,0.5955773955773955,0.01027444751207085
42,0.4258608573436402,0.9869706840390879,0.5949926362297496,0.010299660880198735
43,0.425561797752809,0.9869706840390879,0.5947006869479883,0.010312267564262623
44,0.424667133847232,0.9869706840390879,0.5938265556099951,0.010350087616454284
45,0.42436974789915966,0.9869706840390879,0.5935357492654261,0.010362694300518172
46,0.4231843575418994,0.9869706840390879,0.592375366568915,0.01041312103677372
47,0.42229965156794425,0.9869706840390879,0.5915080527086384,0.010450941088965382
48,0.42171189979123175,0.9869706840390879,0.590931253047294,0.010476154457093156
49,0.420249653259362,0.9869706840390879,0.5894941634241245,0.010539187877412592
50,0.41937716262975777,0.9869706840390879,0.5886352598348713,0.010577007929604254
51,0.41764300482425915,0.9869706840390879,0.5869249394673124,0.010652648033987577
52,0.41649484536082476,0.9869706840390879,0.5857902368293861,0.010703074770243237
53,0.4139344262295082,0.9869706840390879,0.5832531280076997,0.010816534926818222
54,0.41336971350613916,0.9869706840390879,0.5826923076923077,0.010841748294945996
55,0.4122448979591837,0.9869706840390879,0.581573896353167,0.010892175031201545
56,0.41140529531568226,0.9869706840390879,0.580737901293723,0.010929995083393207
57,0.4105691056910569,0.9869706840390879,0.5799043062200957,0.010967815135584869
58,0.4100135317997294,0.9869706840390879,0.5793499043977055,0.010993028503712643
59,0.4091829844699527,0.9869706840390879,0.5785202863961814,0.011030848555904305
60,0.4086311530681052,0.9869706840390879,0.5779685264663805,0.011056061924032079
61,0.4078061911170929,0.9869706840390879,0.5771428571428572,0.01109388197622374
62,0.40643863179074446,0.9869706840390879,0.5757719714964371,0.011156915396543288
63,0.40589417280643003,0.9869706840390879,0.5752254390128144,0.011182128764671062
64,0.40535117056856185,0.9869706840390879,0.5746799431009957,0.011207342132798837
65,0.4037308461025983,0.9869706840390879,0.573049645390071,0.01128298223718216
66,0.40239043824701193,0.9869706840390879,0.5716981132075472,0.011346015657501596
67,0.4005287508261732,0.9869706840390879,0.5698166431593794,0.011434262445948806
68,0.3989466754443713,0.9869706840390879,0.5682137834036568,0.01150990255033224
69,0.3986842105263158,0.9869706840390879,0.5679475164011246,0.011522509234396128
70,0.39816031537450725,0.9869706840390879,0.5674157303370787,0.011547722602523902
71,0.39763779527559057,0.9869706840390879,0.5668849391955099,0.011572935970651677
72,0.3968565815324165,0.9869706840390879,0.5660906118636151,0.011610756022843338
73,0.39633747547416615,0.9869706840390879,0.5655622958469435,0.011635969390971113
74,0.39504563233376794,0.9869706840390879,0.5642458100558659,0.011699002811290549
75,0.3937621832358674,0.9869706840390879,0.5629354389224338,0.011762036231609985
76,0.3927414128321452,0.9869706840390879,0.5618915159944368,0.011812462967865534
77,0.3927414128321452,0.9869706840390879,0.5618915159944368,0.011812462967865534
78,0.39223300970873787,0.9869706840390879,0.5613710050949514,0.011837676335993308
79,0.39122014202711425,0.9869706840390879,0.5603328710124826,0.011888103072248857
80,0.3909677419354839,0.9869706840390879,0.5600739371534196,0.011900709756312744
81,0.38996138996138996,0.9869706840390879,0.559040590405904,0.011951136492568404
82,0.38946015424164526,0.9869706840390879,0.5585253456221199,0.011976349860696178
83,0.38846153846153847,0.9869706840390879,0.5574977000919963,0.012026776596951727
84,0.38846153846153847,0.9869706840390879,0.5574977000919963,0.012026776596951727
85,0.38697318007662834,0.9869706840390879,0.5559633027522936,0.01210241670133505
86,0.38598726114649684,0.9869706840390879,0.554945054945055,0.0121528434375906
87,0.3852511125238398,0.9869706840390879,0.5541838134430727,0.01219066348978226
88,0.3837872070930969,0.9869706840390879,0.5526675786593708,0.012266303594165584
89,0.3836915297092288,0.988599348534202,0.5528233151183971,0.012291516962293358
90,0.38248267170762446,0.988599348534202,0.5515674693321218,0.012354550382612906
91,0.38152105593966057,0.988599348534202,0.5505668934240363,0.012404977118868454
92,0.3808030112923463,0.988599348534202,0.5498188405797102,0.012442797171060116
93,0.3800876643706951,0.988599348534202,0.5490728177295342,0.012480617223251778
94,0.379375,0.988599348534202,0.5483288166214996,0.01251843727544344
95,0.37890137328339574,0.988599348534202,0.5478339350180506,0.012543650643571214
96,0.3781931464174455,0.988599348534202,0.5470932852636322,0.012581470695762875
97,0.3777224642190417,0.988599348534202,0.5466006303466907,0.01260668406389065
98,0.37678460583488516,0.988599348534202,0.5456179775280899,0.012657110800146198
99,0.3756188118811881,0.988599348534202,0.5443946188340807,0.012720144220465746
100,0.3756188118811881,0.988599348534202,0.5443946188340807,0.012720144220465746
101,0.3744602097470697,0.988599348534202,0.5431767337807606,0.012783177640785182
102,0.3737684729064039,0.988599348534202,0.5424486148346738,0.012820997692976843
103,0.373079287031346,0.988599348534202,0.5417224453369032,0.012858817745168505
104,0.37285012285012287,0.988599348534202,0.5414808206958073,0.012871424429232392
105,0.37262124002455493,0.988599348534202,0.541239411502452,0.01288403111329628
106,0.37080024434941966,0.988599348534202,0.5393158596179476,0.012984884585807377
107,0.3701219512195122,0.988599348534202,0.5385980479148181,0.013022704637999039
108,0.36922141119221413,0.988599348534202,0.537643932683791,0.013073131374254587
109,0.36854887674559805,0.988599348534202,0.5369305616983635,0.013110951426446249
110,0.3676559660811629,0.988599348534202,0.5359823399558499,0.013161378162701909
111,0.36698911729141476,0.988599348534202,0.5352733686067019,0.01319919821489357
112,0.36632468316234157,0.988599348534202,0.5345662703654778,0.013237018267085232
113,0.36500300661455204,0.988599348534202,0.5331576635924462,0.013312658371468555
114,0.36478365384615385,0.988599348534202,0.5329236172080772,0.013325265055532443
115,0.36456456456456454,0.988599348534202,0.5326897762176394,0.01333787173959633
116,0.36434573829531813,0.988599348534202,0.5324561403508772,0.013350478423660217
117,0.364127174565087,0.988599348534202,0.5322227093380096,0.013363085107724104
118,0.3632555356074207,0.988599348534202,0.5312910284463895,0.013413511843979653
119,0.36260454002389486,0.988599348534202,0.5305944055944056,0.013451331896171315
120,0.3613095238095238,0.988599348534202,0.5292066259808196,0.013526972000554749
121,0.36109458655562165,0.988599348534202,0.5289760348583878,0.013539578684618636
122,0.3600237247924081,0.988599348534202,0.5278260869565218,0.013602612104938072
123,0.3591715976331361,0.988599348534202,0.5269097222222222,0.013653038841193621
124,0.35811209439528024,0.988599348534202,0.5257687310524036,0.013716072261513057
125,0.3576900412492634,0.988599348534202,0.5253137170056252,0.013741285629640831
126,0.3574793875147232,0.988599348534202,0.5250865051903114,0.013753892313704719
127,0.35705882352941176,0.988599348534202,0.5246326707000865,0.013779105681832493
128,0.356848912404468,0.988599348534202,0.5244060475161987,0.01379171236589638
129,0.35663924794359575,0.988599348534202,0.5241796200345423,0.013804319049960267
130,0.35559461042765084,0.988599348534202,0.5230504093063335,0.013867352470279704
131,0.3553864168618267,0.988599348534202,0.5228251507321274,0.01387995915434359
132,0.3541423570595099,0.988599348534202,0.5214776632302406,0.013955599258727025
133,0.3537296037296037,0.988599348534202,0.5210300429184549,0.0139808126268548
134,0.3531122745782432,0.988599348534202,0.5203600514359195,0.014018632679046461
135,0.3522925130586187,0.988599348534202,0.519469405220368,0.01406905941530201
136,0.35208816705336426,0.988599348534202,0.5192472198460223,0.014081666099365897
137,0.3514765489287782,0.988599348534202,0.5185818026484409,0.014119486151557559
138,0.35127314814814814,0.988599348534202,0.5183603757472246,0.014132092835621446
139,0.3508670520231214,0.988599348534202,0.5179180887372014,0.01415730620374922
140,0.3504618937644342,0.988599348534202,0.5174765558397272,0.014182519571876995
141,0.3502596653202539,0.988599348534202,0.5172560715807414,0.014195126255940882
142,0.3498559077809798,0.988599348534202,0.5168156662409535,0.014220339624068656
143,0.3496262219666475,0.990228013029316,0.5167870803229919,0.014258159676260318
144,0.34902411021814006,0.990228013029316,0.5161290322580645,0.01429597972845198
145,0.34902411021814006,0.990228013029316,0.5161290322580645,0.01429597972845198
146,0.34802518603319976,0.990228013029316,0.5150360016941974,0.014359013148771527
147,0.34782608695652173,0.990228013029316,0.514817950889077,0.014371619832835414
148,0.3472301541976014,0.990228013029316,0.5141649048625793,0.014409439885027076
149,0.346636259977195,0.990228013029316,0.5135135135135135,0.014447259937218737
150,0.34584755403868034,0.990228013029316,0.5126475548060708,0.014497686673474286
151,0.34525837592277114,0.990228013029316,0.512,0.014535506725665948
152,0.34467120181405897,0.990228013029316,0.511354079058032,0.01457332677785761
153,0.34408602150537637,0.990228013029316,0.5107097858042839,0.01461114683004927
154,0.34350282485875705,0.990228013029316,0.5100671140939598,0.014648966882240932
155,0.34350282485875705,0.990228013029316,0.5100671140939598,0.014648966882240932
156,0.3425352112676056,0.990228013029316,0.5089995814148179,0.014712000302560369
157,0.3425352112676056,0.990228013029316,0.5089995814148179,0.014712000302560369
158,0.34195725534308213,0.990228013029316,0.5083612040133779,0.014749820354752141
159,0.34099831744251263,0.990228013029316,0.5073007926574885,0.014812853775071577
160,0.34023503077783995,0.990228013029316,0.5064556434818825,0.014863280511327126
161,0.3394751535455053,0.990228013029316,0.5056133056133056,0.014913707247582675
162,0.33890746934225197,0.990228013029316,0.5049833887043189,0.014951527299774336
163,0.33871866295264624,0.990228013029316,0.5047737650477376,0.014964133983838224
164,0.3381535038932147,0.990228013029316,0.5041459369817579,0.015001954036029885
165,0.3377777777777778,0.990228013029316,0.503728251864126,0.01502716740415766
166,0.3374028856825749,0.990228013029316,0.5033112582781457,0.015052380772285434
167,0.3368421052631579,0.990228013029316,0.5026870607689128,0.015090200824477096
168,0.33665559246954596,0.990228013029316,0.5024793388429752,0.015102807508540983
169,0.3364692861095739,0.990228013029316,0.5022717885171417,0.01511541419260487
170,0.3353557639271925,0.990228013029316,0.5010300782859497,0.015191054296988304
171,0.33461750137589436,0.990228013029316,0.5002056766762649,0.015241481033243853
172,0.3342495876855415,0.990228013029316,0.49979449239621865,0.015266694401371628
173,0.33406593406593404,0.990228013029316,0.49958915365653245,0.015279301085435515
174,0.33388248215266336,0.990228013029316,0.49938398357289526,0.015291907769499402
175,0.3336992316136114,0.990228013029316,0.49917898193760263,0.01530451445356329
176,0.33260393873085337,0.990228013029316,0.49795249795249796,0.015380154557946613
177,0.3318777292576419,0.990228013029316,0.4971381847914963,0.015430581294202161
178,0.33151581243184297,0.990228013029316,0.49673202614379086,0.015455794662329936
179,0.33097441480675016,0.990228013029316,0.49612403100775193,0.015493614714521597
180,0.3306144643828168,0.990228013029316,0.49571952710966166,0.015518828082649372
181,0.3302552960347637,0.990228013029316,0.49531568228105904,0.015544041450777257
182,0.32953929539295396,0.990228013029316,0.494509963399756,0.015594468187032806
183,0.32953929539295396,0.990228013029316,0.494509963399756,0.015594468187032806
184,0.3286486486486486,0.990228013029316,0.4935064935064935,0.015657501607352242
185,0.32776280323450135,0.990228013029316,0.49250708788983394,0.015720535027671678
186,0.32723358449946177,0.990228013029316,0.4919093851132686,0.01575835507986334
187,0.32723358449946177,0.990228013029316,0.4919093851132686,0.01575835507986334
188,0.3263553408480945,0.990228013029316,0.49091643116673395,0.015821388500182776
189,0.3256561328334226,0.990228013029316,0.49012494961708986,0.015871815236438325
190,0.3247863247863248,0.990228013029316,0.4891391794046661,0.01593484865675776
