class_weight,precision,recall,f1-score,false_positive_rate
1,0.9384615384615385,0.2980456026058632,0.45241038318912236,0.0001512802087666465
2,0.9169811320754717,0.3957654723127036,0.552901023890785,0.0002773470494056296
3,0.8478260869565217,0.44462540716612375,0.5833333333333334,0.0006177275191306952
4,0.8027027027027027,0.4837133550488599,0.6036585365853658,0.0009202879366639882
5,0.7673860911270983,0.5211726384364821,0.6207565470417071,0.0012228483541973922
6,0.75,0.5521172638436482,0.6360225140712945,0.0014245552992196986
7,0.7244897959183674,0.5781758957654723,0.6431159420289855,0.0017019023486252172
8,0.6962264150943396,0.6009771986970684,0.6451048951048951,0.0020296761342863956
9,0.6881918819188192,0.6074918566775245,0.6453287197231834,0.0021305296067974933
10,0.5786516853932584,0.6710097719869706,0.6214177978883861,0.0037820052191671616
11,0.6620926243567753,0.6286644951140065,0.6449456975772765,0.002483516760586446
12,0.5688073394495413,0.7068403908794788,0.6303558460421206,0.004147599057020002
13,0.5521091811414393,0.7247557003257329,0.6267605633802817,0.004551012947064503
14,0.5458996328029376,0.7263843648208469,0.623340321453529,0.004677079787703486
15,0.5249130938586327,0.737785016286645,0.6134055517941774,0.0051687404661951986
16,0.5266821345707656,0.739413680781759,0.6151761517615176,0.005143527098067424
17,0.5213483146067416,0.755700325732899,0.6170212765957447,0.005370447411217394
18,0.515778019586507,0.7719869706840391,0.6183953033268101,0.005609974408431362
19,0.5,0.7850162866449512,0.6108998732572877,0.0060764217187953
20,0.5134553283100107,0.7768729641693811,0.6182760855476345,0.005698221196878572
21,0.5062893081761006,0.7866449511400652,0.6160714285714286,0.00593774819409254
22,0.5154749199573105,0.7866449511400652,0.6228239845261122,0.005723434565006347
23,0.5077081192189106,0.8045602605863192,0.6225582860743542,0.006038601666603638
24,0.48233046800382046,0.8224755700325733,0.6080674292594822,0.006832822762628754
25,0.4860710854947166,0.8241042345276873,0.6114803625377644,0.006744575974181544
26,0.45682210708117443,0.8615635179153095,0.5970654627539503,0.007929604276187274
27,0.5149638802889577,0.8127035830618893,0.6304485154769425,0.005925141510028653
28,0.459412780656304,0.8664495114006515,0.600451467268623,0.007891784223995613
29,0.48269581056466304,0.8631921824104235,0.6191588785046729,0.0071605965482899325
30,0.43509047993705746,0.9006514657980456,0.5867374005305039,0.009051599157873458
31,0.47063903281519864,0.8876221498371335,0.6151241534988713,0.007727897331164968
32,0.41215226939970717,0.9169381107491856,0.5686868686868687,0.010123167303304204
33,0.49183303085299457,0.8827361563517915,0.6317016317016317,0.007059743075778724
34,0.45894909688013136,0.9104234527687296,0.6102620087336245,0.008307804798104002
35,0.4482484076433121,0.9169381107491856,0.6021390374331551,0.008736432056276278
36,0.45623987034035657,0.9169381107491856,0.6093073593073594,0.008459085006870648
37,0.4216255442670537,0.9462540716612378,0.5833333333333334,0.01004752719892088
38,0.413623595505618,0.9592833876221498,0.57801766437684,0.010526581193348705
39,0.38248267170762446,0.988599348534202,0.5515674693321218,0.012354550382612906
40,0.303848075962019,0.990228013029316,0.4650095602294455,0.017561110900999655
41,0.26331745344304897,0.990228013029316,0.41601094765651725,0.021443969592678025
42,0.40520694259012013,0.988599348534202,0.5748106060606061,0.011232555500926611
43,0.28213457076566123,0.990228013029316,0.4391477067533406,0.01950254024683884
44,0.3627684964200477,0.990228013029316,0.5310043668122271,0.013463938580235202
45,0.31584415584415587,0.990228013029316,0.47892871209137455,0.016603002912144005
46,0.17906498088797412,0.99185667752443,0.3033623910336239,0.035197861906382744
47,0.16331456154465004,0.99185667752443,0.2804513009440479,0.03933285427933886
48,0.1551155115511551,0.995114006514658,0.26839446518778826,0.041955044564628174
49,0.2025948103792415,0.99185667752443,0.3364640883977901,0.030218221701145964
50,0.1499630632849052,0.99185667752443,0.2605347593582888,0.04351827338855063
51,0.24665314401622718,0.990228013029316,0.39493341994153947,0.023410612306644984
52,0.2448733413751508,0.99185667752443,0.3927765237020316,0.023675352671986727
53,0.24041122973507315,0.990228013029316,0.386891504931594,0.024217440086733988
54,0.22381477398015434,0.99185667752443,0.3652173913043478,0.02662531674293711
55,0.20956641431520992,0.99185667752443,0.34602272727272726,0.02895755329475691
56,0.22937853107344633,0.99185667752443,0.37259100642398285,0.025793275594720333
57,0.22065217391304348,0.99185667752443,0.36099585062240663,0.027116977421428823
58,0.3080040526849038,0.990228013029316,0.46986089644513135,0.0172207304312747
59,0.19321065989847716,0.99185667752443,0.32342007434944237,0.03205879757447394
60,0.20707242434546072,0.99185667752443,0.3426160337552743,0.029398787236993074
61,0.19132893496701225,0.99185667752443,0.3207795628127469,0.032449604780454555
62,0.17969902626143405,0.99185667752443,0.30427179615288535,0.0350465816976161
63,0.17169438962503525,0.99185667752443,0.2927180966113915,0.03703843777971083
64,0.18401206636500755,0.993485342019544,0.31051158055484857,0.03410108039282422
65,0.17886416861826698,0.995114006514658,0.3032258064516129,0.03536174879921339
66,0.173480976717774,0.995114006514658,0.29545454545454547,0.036698057309985765
67,0.16689429117727397,0.995114006514658,0.2858479532163743,0.03845038639486653
68,0.15820818228896943,0.995114006514658,0.27301161751563896,0.04098432989170864
69,0.17375178316690443,0.99185667752443,0.29570284049526585,0.036508957049027346
70,0.16689466484268126,0.993485342019544,0.2857812133989225,0.038387352974547095
