class_weight,precision,recall,f1-score,false_positive_rate
1,0.8713355048859935,0.86709886547812,0.8692120227457352,0.00023581456020582703
2,0.7779329608938548,0.9027552674230146,0.8357089272318079,0.00047461411484472915
3,0.7258687258687259,0.9141004862236629,0.8091822094691535,0.0006358038142258993
4,0.6887816646562123,0.9254457050243112,0.7897648686030428,0.0007701285637102817
5,0.6561085972850679,0.940032414910859,0.7728181212524984,0.0009074383076275172
6,0.62486602357985,0.9448946515397083,0.752258064516129,0.0010447480515448637
7,0.6004098360655737,0.9497568881685575,0.7357187696170747,0.0011641478288643148
8,0.5771878072763028,0.9513776337115073,0.7184822521419829,0.0012835476061837658
9,0.5581835383159887,0.9562398703403565,0.7048984468339307,0.0013939924002042137
10,0.5407136322049405,0.9578606158833063,0.6912280701754386,0.0014984672053586223
11,0.5220070422535211,0.9611021069692058,0.6765544780376498,0.0016208519771110375
12,0.502116850127011,0.9611021069692058,0.6596218020022246,0.00175517672659542
13,0.4888705688375927,0.9611021069692058,0.6480874316939891,0.0018506965484509363
14,0.4755804643714972,0.9627228525121556,0.6366559485530546,0.001955171353605456
15,0.4641185647425897,0.9643435980551054,0.6266456029489205,0.0020506911754609725
16,0.44939577039274925,0.9643435980551054,0.613086038124678,0.0021760609416463517
17,0.4411547002220577,0.965964343598055,0.6056910569105691,0.0022536707969039727
18,0.4319826338639653,0.9675850891410048,0.5972986493246624,0.002343220629893561
19,0.4228045325779037,0.9675850891410048,0.5884672252341054,0.0024327704628830382
20,0.41429562803608605,0.9675850891410048,0.5801749271137027,0.0025193353014396624
21,0.40256237356709373,0.9675850891410048,0.5685714285714286,0.0026447050676250417
22,0.39353988134475937,0.9675850891410048,0.5595126522961574,0.0027461948783465973
23,0.3856589147286822,0.9675850891410048,0.5515011547344111,0.0028387297057691496
24,0.3782416192283365,0.9692058346839546,0.5441310282074613,0.002934249527624666
25,0.3720496894409938,0.9708265802269044,0.5379434216434665,0.003017829371748215
26,0.3641337386018237,0.9708265802269044,0.5296198054818745,0.003122304176902735
27,0.3588975434391851,0.9708265802269044,0.5240594925634295,0.0031939440432943167
28,0.352112676056338,0.9724473257698542,0.5170185264971995,0.0032954338540158723
29,0.3456221198156682,0.9724473257698542,0.509987250318742,0.0033909536758713887
30,0.340522133938706,0.9724473257698542,0.5044136191677175,0.0034685635311290097
31,0.33519553072625696,0.9724473257698542,0.49854590776900704,0.003552143375252559
32,0.3302146395156852,0.9724473257698542,0.4930156121610518,0.003632738224943255
33,0.32537960954446854,0.9724473257698542,0.48760666395774077,0.00371333307463384
34,0.3215434083601286,0.9724473257698542,0.4832863471606927,0.0037790029521594937
35,0.31729243786356426,0.9724473257698542,0.4784688995215311,0.0038536278129841506
36,0.3133159268929504,0.9724473257698542,0.47393364928909953,0.003925267679375732
37,0.30943785456420836,0.9724473257698542,0.4694835680751174,0.003996907545767425
38,0.3056546102903719,0.9724473257698542,0.46511627906976744,0.004068547412159118
39,0.30155544405418966,0.9740680713128039,0.46053639846743294,0.004155112250715631
