class_weight,precision,recall,f1-score
1,0.9521988527724665,0.8110749185667753,0.8759894459102903
2,0.9399293286219081,0.8664495114006515,0.9016949152542373
3,0.9316239316239316,0.8876221498371335,0.9090909090909091
4,0.8883994126284875,0.9853420195439739,0.9343629343629344
5,0.8797101449275362,0.988599348534202,0.9309815950920245
6,0.8710601719197708,0.990228013029316,0.926829268292683
7,0.8636363636363636,0.990228013029316,0.9226100151745068
8,0.8551336146272855,0.990228013029316,0.9177358490566038
9,0.8479776847977685,0.990228013029316,0.9135987978963186
10,0.84,0.99185667752443,0.9096340552651232
11,0.8319672131147541,0.99185667752443,0.9049034175334324
12,0.8274456521739131,0.99185667752443,0.9022222222222223
13,0.8263229308005428,0.99185667752443,0.9015544041450777
14,0.8243243243243243,0.993485342019544,0.9010339734121122
15,0.8198924731182796,0.993485342019544,0.898379970544919
16,0.8155080213903744,0.993485342019544,0.895741556534508
17,0.8090185676392573,0.993485342019544,0.8918128654970761
18,0.8047493403693932,0.993485342019544,0.8892128279883382
19,0.6205493387589013,0.993485342019544,0.7639323731997495
20,0.8015768725361366,0.993485342019544,0.8872727272727273
21,0.800524934383202,0.993485342019544,0.8866279069767442
22,0.7953063885267275,0.993485342019544,0.8834178131788559
23,0.7932379713914174,0.993485342019544,0.8821402747650036
24,0.5281385281385281,0.993485342019544,0.6896551724137931
25,0.5169491525423728,0.993485342019544,0.6800445930880713
26,0.5091819699499165,0.993485342019544,0.673289183222958
27,0.7840616966580977,0.993485342019544,0.8764367816091954
28,0.7830551989730423,0.993485342019544,0.8758076094759512
29,0.47993705743509046,0.993485342019544,0.6472148541114059
30,0.47213622291021673,0.993485342019544,0.640083945435467
31,0.7750952986022872,0.993485342019544,0.8708065667380442
32,0.45319465081723626,0.993485342019544,0.6224489795918368
33,0.7711757269279393,0.993485342019544,0.8683274021352313
34,0.43948126801152737,0.993485342019544,0.6093906093906094
35,0.43201133144475923,0.993485342019544,0.6021717670286278
36,0.42747021723896284,0.993485342019544,0.5977462028417443
37,0.4201101928374656,0.993485342019544,0.590513068731849
38,0.41383989145183175,0.993485342019544,0.5842911877394636
39,0.40939597315436244,0.993485342019544,0.5798479087452472
40,0.40370615486432826,0.993485342019544,0.5741176470588235
41,0.3981723237597911,0.993485342019544,0.5684995340167754
42,0.394311570782159,0.993485342019544,0.5645534474780194
43,0.3902751119641715,0.993485342019544,0.5604042259990814
44,0.3860759493670886,0.993485342019544,0.5560619872379216
