class_weight,precision,recall,f1-score,false_positive_rate
1,0.9049128367670365,0.463474025974026,0.6129898013955984,6.294837603681991e-05
2,0.8397863818424566,0.510551948051948,0.6350328117112569,0.00012589675207363982
3,0.7924757281553398,0.5300324675324676,0.6352140077821011,0.00017940287170492564
4,0.7475192943770672,0.5503246753246753,0.6339410939691444,0.0002402529685404664
5,0.698284561049445,0.5616883116883117,0.6225820962663068,0.00031369274058345997
6,0.6625939849624061,0.5722402597402597,0.6141114982578397,0.0003766411166202799
7,0.6276223776223776,0.5827922077922078,0.6043771043771043,0.00044693346986135474
8,0.5945723684210527,0.5868506493506493,0.5906862745098039,0.0005172258231024296
9,0.5657894736842105,0.5933441558441559,0.5792393026941363,0.000588567315944144
10,0.538965768390386,0.6006493506493507,0.5681381957773513,0.0006641053671884167
11,0.5173370319001387,0.6055194805194806,0.5579655946148093,0.0007302011620270443
12,0.4873294346978557,0.6087662337662337,0.5413208228076507,0.0008277711448840819
13,0.46956521739130436,0.6136363636363636,0.5320197044334976,0.0008959652189239886
14,0.4500295683027794,0.6176948051948052,0.5206979131029764,0.0009756998285705976
15,0.43527416619559073,0.625,0.5131622792402533,0.0010480904610129516
16,0.4191810344827586,0.6314935064935064,0.5038860103626943,0.0011309724894613682
17,0.4042333505420754,0.635551948051948,0.4941621962764279,0.0012107070991079771
18,0.39269634817408705,0.6371753246753247,0.48591767254719903,0.001273655475144797
19,0.38065447545717035,0.6420454545454546,0.4779456193353474,0.0013502426659895983
20,0.370817843866171,0.6477272727272727,0.4716312056737589,0.0014205350192307842
21,0.36171171171171174,0.6517857142857143,0.46523754345307067,0.0014866308140694118
22,0.35255570117955437,0.6550324675324676,0.4583925021300767,0.0015548248881092075
23,0.34367034834324556,0.6566558441558441,0.45119910764082544,0.0016209206829479461
24,0.33540372670807456,0.6574675324675324,0.4442007129147244,0.001683869058984766
25,0.32834613829357057,0.6590909090909091,0.43832658569500677,0.0017426208766191387
26,0.3202819107282694,0.663961038961039,0.43211833069202327,0.001821306346665108
27,0.3132392216711179,0.6663961038961039,0.4261614326498832,0.0018884512811043752
28,0.3047019622362088,0.6680194805194806,0.41851004322400204,0.0019702841699522633
29,0.2993098438067563,0.6688311688311688,0.4135508155583438,0.002023790289583549
30,0.2919451283855083,0.6737012987012987,0.40736196319018403,0.0021119180160350526
31,0.28488172780253684,0.674512987012987,0.4005784526391902,0.002188505206879854
32,0.27829872739450773,0.674512987012987,0.3940256045519203,0.002260895839322208
33,0.2734119187950229,0.6777597402597403,0.3896406906206253,0.002328040773761475
34,0.2668154287535862,0.6793831168831169,0.3831540398260472,0.0024130210814111708
35,0.25945443273403596,0.6793831168831169,0.3755047106325707,0.002506394505865761
36,0.25347432024169186,0.6810064935064936,0.36944077498899164,0.0025924239531160964
37,0.24706227967097533,0.6826298701298701,0.3628127696289905,0.0026889447963724944
38,0.2424416930607544,0.6834415584415584,0.35791710945802335,0.002760286289214209
39,0.2376265466816648,0.6858766233766234,0.3529657477025898,0.002844217457263265
40,0.2325453545904343,0.6866883116883117,0.34743326488706366,0.002929197764912961
41,0.22814097390368576,0.6883116883116883,0.34269549403919985,0.0030099815141602093
42,0.22257135375752815,0.689935064935065,0.3365670164323896,0.003114895474221613
43,0.21837310751860406,0.6907467532467533,0.33183856502242154,0.0031956792234688614
44,0.21387427998998246,0.6931818181818182,0.32688995215311006,0.003293249206325899
45,0.20951913640824338,0.6931818181818182,0.32177844762622454,0.003380327793176763
46,0.20591772913158526,0.6948051948051948,0.31768417146038225,0.0034632098216252905
47,0.2018370230805464,0.6956168831168831,0.31288791529755383,0.003555534106479241
48,0.19787822878228783,0.6964285714285714,0.3081896551724138,0.0036489075309338315
49,0.19516602665461938,0.7012987012987013,0.3053543028803676,0.0037380843969860855
50,0.19178690344062152,0.7012987012987013,0.30120271919121494,0.0038199172858338626
51,0.1891655744866754,0.702922077922078,0.2981067125645439,0.0038944061974774957
52,0.18575718575718575,0.702922077922078,0.29385816084153377,0.003982533923928999
53,0.18310454065469906,0.7037337662337663,0.2905982905982906,0.004058071975173161
54,0.1803074366431242,0.7045454545454546,0.2871319880913,0.004139904864021049
55,0.17754141951319288,0.7045454545454546,0.28361378859663455,0.004218590334067018
56,0.17485898468976632,0.7045454545454546,0.2801807617817947,0.004297275804113099
57,0.1723728478131803,0.7069805194805194,0.2771678599840891,0.00438750180976577
58,0.16928751698699282,0.7077922077922078,0.27322575591414694,0.004489268351025366
59,0.16663485397976713,0.7086038961038961,0.2698191933240612,0.004580543496278677
60,0.16428571428571428,0.7094155844155844,0.2667887667887668,0.0046644746643277335
61,0.16170763260025872,0.7102272727272727,0.26343519494204426,0.004758897228382963
62,0.15934664246823957,0.7126623376623377,0.2604568377336102,0.00485961463004192
63,0.15730136005726558,0.713474025974026,0.25777126099706743,0.004940398379289168
64,0.15508115737473535,0.713474025974026,0.25478260869565217,0.005024329547338224
65,0.1533635413035901,0.7142857142857143,0.25251076040172166,0.005096720179780578
66,0.1517549896765313,0.7159090909090909,0.2504258943781942,0.00517225823102474
67,0.1501526976586359,0.7183441558441559,0.24838619141173168,0.005255140259473157
68,0.1484833249539132,0.7191558441558441,0.24614529795804974,0.005330678310717429
69,0.14670856764803175,0.7199675324675324,0.24374828249519098,0.005412511199565206
70,0.14471968709256844,0.7207792207792207,0.24104234527687296,0.005505884624019797
71,0.1427882296189098,0.7207792207792207,0.23835726748087505,0.005592963210870772
72,0.1415423675023802,0.724025974025974,0.23679320414122643,0.005675845239319188
73,0.13992800125215213,0.7256493506493507,0.23461487993701613,0.005765022105371331
